a0_ypk_lh1,a0_ypk_lh2,a0_ypk_lh3,a0_ypk_lh4,a0_ypk_lh5,a0_ypk_rh1,a0_ypk_rh2,a0_ypk_rh3,a0_ypk_rh4,a0_ypk_rh5,lzc_lh1,lzc_lh2,lzc_lh3,lzc_lh4,lzc_lh5,lzc_rh1,lzc_rh2,lzc_rh3,lzc_rh4,lzc_rh5,order_lh1,order_lh2,order_lh3,order_lh4,order_lh5,order_rh1,order_rh2,order_rh3,order_rh4,order_rh5,mean_ypk_lh1,mean_ypk_lh2,mean_ypk_lh3,mean_ypk_lh4,mean_ypk_lh5,mean_ypk_rh1,mean_ypk_rh2,mean_ypk_rh3,mean_ypk_rh4,mean_ypk_rh5,sd_ypk_lh1,sd_ypk_lh2,sd_ypk_lh3,sd_ypk_lh4,sd_ypk_lh5,sd_ypk_rh1,sd_ypk_rh2,sd_ypk_rh3,sd_ypk_rh4,sd_ypk_rh5,skew_ypk_lh1,skew_ypk_lh2,skew_ypk_lh3,skew_ypk_lh4,skew_ypk_lh5,skew_ypk_rh1,skew_ypk_rh2,skew_ypk_rh3,skew_ypk_rh4,skew_ypk_rh5,nor_kur_ypk_lh1,nor_kur_ypk_lh2,nor_kur_ypk_lh3,nor_kur_ypk_lh4,nor_kur_ypk_lh5,nor_kur_ypk_rh1,nor_kur_ypk_rh2,nor_kur_ypk_rh3,nor_kur_ypk_rh4,nor_kur_ypk_rh5,kur_ypk_lh1,kur_ypk_lh2,kur_ypk_lh3,kur_ypk_lh4,kur_ypk_lh5,kur_ypk_rh1,kur_ypk_rh2,kur_ypk_rh3,kur_ypk_rh4,kur_ypk_rh5,nor_var_ypk_lh1,nor_var_ypk_lh2,nor_var_ypk_lh3,nor_var_ypk_lh4,nor_var_ypk_lh5,nor_var_ypk_rh1,nor_var_ypk_rh2,nor_var_ypk_rh3,nor_var_ypk_rh4,nor_var_ypk_rh5,var_ypk_lh1,var_ypk_lh2,var_ypk_lh3,var_ypk_lh4,var_ypk_lh5,var_ypk_rh1,var_ypk_rh2,var_ypk_rh3,var_ypk_rh4,var_ypk_rh5,sd_rk_lh1,sd_rk_lh2,sd_rk_lh3,sd_rk_lh4,sd_rk_lh5,sd_rk_rh1,sd_rk_rh2,sd_rk_rh3,sd_rk_rh4,sd_rk_rh5,nor_var_rk_lh1,nor_var_rk_lh2,nor_var_rk_lh3,nor_var_rk_lh4,nor_var_rk_lh5,nor_var_rk_rh1,nor_var_rk_rh2,nor_var_rk_rh3,nor_var_rk_rh4,nor_var_rk_rh5,var_rk_lh1,var_rk_lh2,var_rk_lh3,var_rk_lh4,var_rk_lh5,var_rk_rh1,var_rk_rh2,var_rk_rh3,var_rk_rh4,var_rk_rh5,skew_rk_lh1,skew_rk_lh2,skew_rk_lh3,skew_rk_lh4,skew_rk_lh5,skew_rk_rh1,skew_rk_rh2,skew_rk_rh3,skew_rk_rh4,skew_rk_rh5,kur_rk_lh1,kur_rk_lh2,kur_rk_lh3,kur_rk_lh4,kur_rk_lh5,kur_rk_rh1,kur_rk_rh2,kur_rk_rh3,kur_rk_rh4,kur_rk_rh5,nor_kur_rk_lh1,nor_kur_rk_lh2,nor_kur_rk_lh3,nor_kur_rk_lh4,nor_kur_rk_lh5,nor_kur_rk_rh1,nor_kur_rk_rh2,nor_kur_rk_rh3,nor_kur_rk_rh4,nor_kur_rk_rh5,ent_ypk_lh1,ent_ypk_lh2,ent_ypk_lh3,ent_ypk_lh4,ent_ypk_lh5,ent_ypk_rh1,ent_ypk_rh2,ent_ypk_rh3,ent_ypk_rh4,ent_ypk_rh5,ent_rk_lh1,ent_rk_lh2,ent_rk_lh3,ent_rk_lh4,ent_rk_lh5,ent_rk_rh1,ent_rk_rh2,ent_rk_rh3,ent_rk_rh4,ent_rk_rh5,Sub_code,resp
-0.365692494,-0.365692493,-0.365692496,1.89505493,-0.365692496,-0.365692495,1.89505493,-0.365692495,-0.365692492,-0.365692494,62,64,62,1,75,53,1,69,60,26,5,4,5,9,1,8,9,3,6,9,-0.365692494,-0.365692493,-0.365692496,1.461217631,-0.365692495,-0.365692495,1.461217631,-0.365692495,-0.365692492,-0.365692494,4.70E-11,3.41E-11,2.59E-11,0.051688403,4.51E-11,1.37E-11,0.051688403,1.52E-11,2.43E-11,1.18E-11,-0.077157668,-0.539291407,0.432505262,-0.173605646,-3.70E-06,0.223192132,-0.173605646,0.588487578,0.001053207,0.379258732,-0.680005283,-0.644317608,-0.658107063,1.948166745,-0.624197265,-0.636190306,1.948166745,-0.607117114,-0.645117742,-0.531118445,1.316143155,1.625517754,1.505977682,24.09963006,1.799939962,1.695972918,24.09963006,1.948006909,1.618581437,2.606835425,-0.498956685,-0.498956685,-0.498956685,1.988528222,-0.498956685,-0.498956685,1.988528221,-0.498956685,-0.498956685,-0.498956685,2.21E-21,1.16E-21,6.73E-22,0.002671691,2.04E-21,1.89E-22,0.002671691,2.32E-22,5.90E-22,1.40E-22,8.54E-12,8.98E-12,6.46E-12,1.526435394,1.50E-11,5.73E-12,1.526435393,7.37E-12,6.72E-12,8.60E-12,-0.498956888,-0.498956888,-0.498956888,1.991593572,-0.498956888,-0.498956888,1.991593571,-0.498956888,-0.498956888,-0.498956888,7.29E-23,8.06E-23,4.18E-23,2.330005011,2.26E-22,3.28E-23,2.33000501,5.43E-23,4.52E-23,7.40E-23,-0.067372489,-0.128543999,0.457093078,-0.006248501,-0.14393831,0.229715993,-0.006248501,-0.685820911,-0.14567155,-0.109589194,2.547583293,2.618928621,3.350444737,1.013530683,2.156670493,3.352670692,1.013530683,3.469542734,2.783376854,3.056870106,-0.129591787,-0.060443503,0.648545924,-1.616403983,-0.508466615,0.650703332,-1.616403983,0.763976356,0.098940625,0.364011783,0.748301306,0.748301306,0.748301306,0.74830099,0.748301306,0.748301306,0.74830099,0.748301306,0.748301306,0.748301306,0.868876447,0.870588732,0.894511332,0.749598518,0.815673815,0.917731971,0.749598518,0.884961049,0.871415373,0.894129286,S040,NON PLAYER PRE
-0.365692494,-0.365692493,-0.365692496,1.896116627,-0.365692495,-0.365692495,1.896116627,-0.365692495,-0.365692492,-0.365692494,36,43,28,1,70,26,1,74,51,44,9,9,9,9,2,9,9,1,9,9,-0.365692494,-0.365692493,-0.365692496,1.461630361,-0.365692495,-0.365692495,1.461630361,-0.365692495,-0.365692493,-0.365692495,2.39E-11,6.93E-11,5.43E-12,0.051738251,1.98E-10,7.98E-12,0.051738251,2.27E-11,9.15E-11,2.21E-10,-0.139109356,0.093673547,-1.14311613,-0.163613423,0.38754938,0.246734883,-0.163613423,-5.36E-07,1.276551215,1.255209146,-0.650658665,-0.667108424,-0.437623338,1.952625375,-0.609995319,-0.612776758,1.952625375,-0.62419726,-0.467130903,-0.388349405,1.570547457,1.42794535,3.417339654,24.13828169,1.9230559,1.89894375,24.13828169,1.799940006,3.161540104,3.844492822,-0.498956685,-0.498956685,-0.498956685,1.99332841,-0.498956685,-0.498956685,1.993328408,-0.498956685,-0.498956685,-0.498956685,5.69E-22,4.81E-21,2.95E-23,0.002676847,3.91E-20,6.36E-23,0.002676847,5.13E-22,8.37E-21,4.89E-20,6.77E-12,7.26E-12,5.36E-12,1.526779862,2.91E-11,6.04E-12,1.526779862,9.59E-12,7.34E-12,1.19E-11,-0.498956888,-0.498956888,-0.498956888,1.992717778,-0.498956888,-0.498956888,1.992717776,-0.498956888,-0.498956888,-0.498956888,4.58E-23,5.28E-23,2.87E-23,2.331056748,8.45E-22,3.65E-23,2.331056747,9.19E-23,5.39E-23,1.42E-22,0.036186037,-0.123450735,-0.81229764,-0.006253314,-0.009316084,0.395577057,-0.006253314,-0.149687655,0.047614578,0.066045118,2.665432704,2.559138632,4.396242638,1.013533685,2.709159039,2.448310169,1.013533685,3.688276868,2.617483782,2.721624616,-0.015371492,-0.118392289,1.662138982,-1.616401073,0.027008311,-0.225807842,-1.616401073,0.975974678,-0.061843849,0.039090017,0.748301306,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748301306,0.88756801,0.873894886,0.93237071,0.749599047,0.800594658,0.904218605,0.749599047,0.866317401,0.873396687,0.859532032,S040,NON PLAYER PRE
-0.365692494,-0.365692493,-0.365692496,1.896340997,-0.365692495,-0.365692495,1.896340997,-0.365692495,-0.365692493,-0.365692495,69,51,6,1,68,69,1,49,75,56,3,9,9,9,3,3,9,9,1,7,-0.365692494,-0.365692493,-0.365692496,1.461811622,-0.365692495,-0.365692495,1.461811622,-0.365692495,-0.365692493,-0.365692495,3.55E-11,2.24E-11,1.78E-12,0.051743384,7.05E-11,1.11E-11,0.051743384,4.18E-12,1.13E-11,6.53E-11,0.394779881,0.200734827,-0.717099521,-0.163613375,-0.038979563,-0.803666167,-0.163613375,0.674759232,-1.45E-05,-1.118799657,-0.63522893,-0.628295504,-0.46486042,1.952625462,-0.676110246,-0.565772965,1.952625462,-0.587866037,-0.624197154,-0.525765532,1.704307033,1.764412543,3.181222806,24.13828245,1.349909026,2.306417192,24.13828245,2.114893496,1.799940928,2.653239545,-0.498956685,-0.498956685,-0.498956685,1.993822986,-0.498956685,-0.498956685,1.993822985,-0.498956685,-0.498956685,-0.498956685,1.26E-21,5.00E-22,3.15E-24,0.002677378,4.97E-21,1.23E-22,0.002677378,1.74E-23,1.28E-22,4.26E-21,1.05E-11,9.23E-12,4.91E-12,1.526931311,1.51E-11,6.87E-12,1.52693131,4.92E-12,1.65E-11,8.03E-12,-0.498956888,-0.498956888,-0.498956888,1.993212124,-0.498956888,-0.498956888,1.993212123,-0.498956888,-0.498956888,-0.498956888,1.11E-22,8.52E-23,2.41E-23,2.331519228,2.28E-22,4.72E-23,2.331519227,2.42E-23,2.74E-22,6.44E-23,0.341256465,0.279813938,-0.200771246,-0.006253314,0.835940124,-0.261464664,-0.006253314,-0.091719834,-1.194534817,0.076962914,2.804924009,2.627202561,4.850525716,1.013533685,3.105241789,2.981762674,1.013533685,3.202332604,4.613759301,3.303805512,0.119824246,-0.052424356,2.10243263,-1.616401073,0.410893884,0.291217249,-1.616401073,0.504994834,1.872957323,0.603342932,0.748301306,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748301306,0.848820316,0.860164343,0.938963785,0.749599047,0.830470989,0.881014521,0.749599047,0.908219552,0.834574388,0.884667117,S040,NON PLAYER PRE
-0.365692494,-0.365692493,-0.365692496,1.896565367,-0.365692495,-0.365692495,1.896565367,-0.365692495,-0.365692493,-0.365692495,10,70,48,1,58,59,1,66,60,21,9,2,9,9,6,6,9,4,6,9,-0.365692494,-0.365692494,-0.365692496,1.461992882,-0.365692494,-0.365692495,1.461992883,-0.365692495,-0.365692493,-0.365692495,3.64E-12,2.19E-11,8.97E-12,0.051748518,3.86E-11,9.32E-12,0.051748518,4.67E-11,1.62E-11,2.57E-11,-0.046795926,0.952327912,2.193927881,-0.163613327,-1.640528423,-0.443451273,-0.163613326,0.912261057,-0.452520672,3.154231749,-0.599953752,-0.53063244,-0.009435788,1.95262555,-0.314032697,-0.634151869,1.95262555,-0.52703662,-0.653903608,1.00901175,2.010105717,2.611048578,7.129275304,24.1382832,4.48874051,1.713644015,24.1382832,2.642220555,1.542417218,15.95814415,-0.498956685,-0.498956685,-0.498956685,1.994317612,-0.498956685,-0.498956685,1.994317611,-0.498956685,-0.498956685,-0.498956685,1.33E-23,4.81E-22,8.05E-23,0.002677909,1.49E-21,8.69E-23,0.002677909,2.18E-21,2.63E-22,6.60E-22,5.16E-12,8.23E-12,5.08E-12,1.527082759,6.89E-12,6.64E-12,1.527082759,9.46E-12,6.91E-12,6.31E-12,-0.498956888,-0.498956888,-0.498956888,1.993706519,-0.498956888,-0.498956888,1.993706518,-0.498956888,-0.498956888,-0.498956888,2.66E-23,6.77E-23,2.58E-23,2.331981753,4.75E-23,4.41E-23,2.331981752,8.95E-23,4.78E-23,3.98E-23,0.262488418,-0.439398779,0.877297313,-0.006253314,-0.016782609,-0.880118491,-0.006253314,-0.391374678,-0.688066833,0.030433651,2.651586263,2.789155893,4.372468966,1.013533685,4.898035698,3.62086321,1.013533685,2.612881185,3.952132698,2.700081625,-0.028791538,0.104541702,1.639097409,-1.616401073,2.148479565,0.910636991,-1.616401073,-0.066304712,1.231705194,0.018210433,0.748301306,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748301306,0.900079925,0.870598013,0.918441721,0.749599047,0.912689884,0.90288451,0.749599047,0.848714528,0.889339163,0.902973221,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.896789737,-0.365692494,-0.365692495,1.896789738,-0.365692495,-0.365692493,-0.365692495,47,69,42,1,53,26,1,32,9,71,9,3,9,9,8,9,9,9,9,2,-0.365692494,-0.365692494,-0.365692496,1.462174143,-0.365692494,-0.365692495,1.462174143,-0.365692495,-0.365692493,-0.365692495,3.32E-11,4.95E-11,1.80E-11,0.051753651,1.91E-11,2.25E-12,0.051753651,9.12E-12,3.16E-12,1.04E-11,1.209311589,0.388537462,-0.010470326,-0.163613278,-1.074440011,-1.780099536,-0.163613278,0.018196996,1.354339608,-0.821616763,-0.511138852,-0.64215035,-0.668834908,1.952625637,-0.535071913,-0.126641722,1.952625637,-0.598866509,-0.129334726,-0.556796648,2.780037478,1.644305599,1.412978555,24.13828396,2.572563011,6.113223141,24.13828396,2.019530973,6.089877629,2.384232411,-0.498956685,-0.498956685,-0.498956685,1.994812287,-0.498956685,-0.498956685,1.994812286,-0.498956685,-0.498956685,-0.498956685,1.10E-21,2.45E-21,3.24E-22,0.00267844,3.64E-22,5.07E-24,0.00267844,8.32E-23,9.97E-24,1.08E-22,5.57E-12,7.73E-12,6.56E-12,1.527234208,5.60E-12,4.29E-12,1.527234207,5.08E-12,4.75E-12,7.95E-12,-0.498956888,-0.498956888,-0.498956888,1.994200964,-0.498956888,-0.498956888,1.994200963,-0.498956888,-0.498956888,-0.498956888,3.11E-23,5.98E-23,4.31E-23,2.332444325,3.13E-23,1.84E-23,2.332444324,2.58E-23,2.26E-23,6.33E-23,-0.145596261,0.087863168,-0.264625824,-0.006253314,-0.181240059,-0.219493371,-0.006253314,-0.363442955,0.257379315,0.19907431,3.636611889,2.844053843,3.516885629,1.013533685,2.82906432,2.515431829,1.013533685,2.669270407,3.323538111,2.457939944,0.925900697,0.157749096,0.80986135,-1.616401073,0.143221168,-0.160753162,-1.616401073,-0.011651969,0.622467875,-0.216474612,0.748301306,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748300985,0.748301306,0.748301306,0.748301306,0.906632621,0.865094234,0.893045803,0.749599047,0.909838769,0.941797966,0.749599047,0.910810952,0.917217472,0.892479681,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.897014108,-0.365692495,-0.365692495,1.897014108,-0.365692495,-0.365692493,-0.365692495,71,47,77,1,11,11,1,64,17,68,2,9,1,9,9,9,9,4,9,3,-0.365692494,-0.365692494,-0.365692496,1.462355404,-0.365692495,-0.365692495,1.462355404,-0.365692495,-0.365692493,-0.365692495,2.64E-11,4.65E-11,1.63E-11,0.051758784,4.30E-12,3.71E-12,0.051758784,6.62E-11,6.14E-12,2.95E-11,0.379736904,1.329171282,1.42E-05,-0.16361323,0.350067872,1.513749947,-0.16361323,-1.344402645,0.959214045,-0.268659307,-0.610569177,-0.485508723,-0.62419726,1.952625724,-0.494128453,-0.250904977,1.952625724,-0.415798455,-0.030511355,-0.660504106,1.918081147,3.002223737,1.799940005,24.13828472,2.927499747,5.035991435,24.13828472,3.606538429,6.946572301,1.485197842,-0.498956685,-0.498956685,-0.498956685,1.995307011,-0.498956685,-0.498956685,1.99530701,-0.498956685,-0.498956685,-0.498956685,6.97E-22,2.16E-21,2.64E-22,0.002678972,1.85E-23,1.38E-23,0.002678972,4.38E-21,3.77E-23,8.71E-22,8.63E-12,5.55E-12,1.22E-11,1.527385656,6.76E-12,4.85E-12,1.527385656,1.09E-11,4.95E-12,8.98E-12,-0.498956888,-0.498956888,-0.498956888,1.994695458,-0.498956888,-0.498956888,1.994695456,-0.498956888,-0.498956888,-0.498956888,7.45E-23,3.08E-23,1.49E-22,2.332906943,4.57E-23,2.35E-23,2.332906942,1.19E-22,2.45E-23,8.06E-23,0.032795054,0.455458726,-0.307485802,-0.006253315,-0.058523774,-0.226023817,-0.006253315,0.143531863,-0.119648411,0.134778034,2.535738177,5.233188817,2.849186954,1.013533685,2.410264178,3.178488765,1.013533685,2.294293281,2.382309673,2.903109978,-0.141072138,2.473311805,0.162724134,-1.616401073,-0.262682226,0.481885254,-1.616401073,-0.375081854,-0.289775885,0.214986625,0.748301306,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748301306,0.849164858,0.912320274,0.831559208,0.749599047,0.874365973,0.92896911,0.749599047,0.843100351,0.922038079,0.893182676,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.897298632,-0.365692495,-0.365692495,1.897298632,-0.365692495,-0.365692493,-0.365692495,61,33,18,1,65,31,1,67,30,18,5,9,9,9,4,9,9,3,9,9,-0.365692494,-0.365692494,-0.365692496,1.463030239,-0.365692495,-0.365692495,1.463030239,-0.365692495,-0.365692493,-0.365692495,1.31E-11,1.11E-11,1.25E-11,0.051739734,1.73E-11,5.46E-12,0.051739734,1.77E-11,9.26E-12,7.68E-12,0.270817465,1.873571125,-0.367034337,-0.173595279,0.757311736,-2.20391848,-0.173595279,0.453964181,0.377005056,-0.138517494,-0.639012299,-0.259824555,-0.591494038,1.948172292,-0.604174499,0.250866372,1.948172292,-0.634285935,-0.629538404,-0.561975687,1.671509203,4.958668077,2.083442545,24.09967815,1.973516284,9.385821216,24.09967815,1.712481811,1.753637903,2.339335598,-0.498956685,-0.498956685,-0.498956685,1.993471308,-0.498956685,-0.498956685,1.993471307,-0.498956685,-0.498956685,-0.498956685,1.73E-22,1.24E-22,1.56E-22,0.002677,2.99E-22,2.98E-23,0.002677,3.15E-22,8.58E-23,5.89E-23,6.44E-12,4.03E-12,5.45E-12,1.527949879,7.26E-12,4.88E-12,1.527949878,6.54E-12,6.01E-12,7.09E-12,-0.498956888,-0.498956888,-0.498956888,1.996538128,-0.498956888,-0.498956888,1.996538127,-0.498956888,-0.498956888,-0.498956888,4.15E-23,1.62E-23,2.97E-23,2.334630831,5.26E-23,2.38E-23,2.33463083,4.28E-23,3.62E-23,5.03E-23,-0.053489688,0.007359694,0.106860784,-0.006248508,-0.102822733,-0.089289319,-0.006248508,0.300210922,-0.654625336,0.339802044,3.69229337,3.168794172,2.526649742,1.013530686,3.285324472,2.894036314,1.013530686,3.558730589,3.905291692,2.81326981,0.979867493,0.472489201,-0.149880698,-1.61640398,0.585431007,0.20619238,-1.61640398,0.850417714,1.186306634,0.127913042,0.748301306,0.748301306,0.748301306,0.74830099,0.748301306,0.748301306,0.74830099,0.748301306,0.748301306,0.748301306,0.894984544,0.940863807,0.900034202,0.749598519,0.892627635,0.930104173,0.749598519,0.906409194,0.894698541,0.898800788,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.898360329,-0.365692494,-0.365692495,1.898360329,-0.365692495,-0.365692493,-0.365692495,30,66,12,1,71,50,1,58,68,76,9,4,9,9,2,9,9,6,3,1,-0.365692494,-0.365692494,-0.365692496,1.463442969,-0.365692494,-0.365692495,1.463442969,-0.365692495,-0.365692493,-0.365692495,1.55E-11,2.72E-11,7.95E-12,0.051789584,5.13E-12,3.77E-11,0.051789584,5.26E-11,2.50E-11,1.68E-11,-0.403426244,0.446317591,0.300433746,-0.163612941,0.676758058,1.313000646,-0.163612941,1.949665594,0.092549558,2.87E-06,-0.615722006,-0.656043205,-0.413278986,1.952626248,-0.579593312,-0.484660857,1.952626248,-0.148360784,-0.674575986,-0.624197259,1.873411541,1.523869161,3.628379578,24.13828926,2.18660932,3.009573847,24.13828926,5.924941723,1.363209445,1.799940017,-0.498956685,-0.498956685,-0.498956685,1.998276384,-0.498956685,-0.498956685,1.998276383,-0.498956685,-0.498956685,-0.498956685,2.40E-22,7.39E-22,6.33E-23,0.002682161,2.64E-23,1.42E-21,0.002682161,2.77E-21,6.26E-22,2.82E-22,4.45E-12,1.09E-11,8.00E-12,1.528294347,5.37E-12,4.74E-12,1.528294347,7.89E-12,1.12E-11,1.24E-11,-0.498956888,-0.498956888,-0.498956888,1.997663449,-0.498956888,-0.498956888,1.997663448,-0.498956888,-0.498956888,-0.498956888,1.98E-23,1.18E-22,6.40E-23,2.335683612,2.88E-23,2.24E-23,2.335683611,6.23E-23,1.25E-22,1.53E-22,0.188209804,0.831437061,0.169077883,-0.006253315,-0.336998847,0.525152523,-0.006253315,-0.390476703,-0.233276214,0.24322886,2.759823339,3.839239723,3.2211393,1.013533685,2.96778045,4.207739066,1.013533685,3.76367124,3.509019024,2.32404462,0.07611243,1.122288704,0.523222387,-1.616401073,0.2776656,1.479440287,-1.616401073,1.049047317,0.802236993,-0.346246694,0.748301306,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748301306,0.918267549,0.854461019,0.895528081,0.749599047,0.927426414,0.922420959,0.749599047,0.901260526,0.853146309,0.848614907,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.898584699,-0.365692494,-0.365692495,1.898584699,-0.365692495,-0.365692493,-0.365692495,75,21,22,1,48,8,1,79,54,43,1,9,9,9,9,9,9,1,8,9,-0.365692494,-0.365692494,-0.365692496,1.46362423,-0.365692494,-0.365692495,1.46362423,-0.365692495,-0.365692493,-0.365692495,5.40E-11,5.94E-12,8.55E-12,0.051794717,1.52E-10,2.47E-12,0.051794717,5.21E-12,8.28E-11,1.73E-10,1.96E-17,1.023761947,-0.229904208,-0.163612893,-0.373444654,0.689582807,-0.163612892,7.44E-06,0.849347454,-0.275452954,-0.624197262,-0.502959224,-0.578956034,1.952626335,-0.586004292,-0.429189465,1.952626335,-0.62419724,-0.533013699,-0.627101133,1.799939988,2.850946251,2.192133852,24.13829001,2.131032864,3.490452457,24.13829001,1.799940183,2.590405561,1.774766481,-0.498956685,-0.498956685,-0.498956685,1.998771451,-0.498956685,-0.498956685,1.99877145,-0.498956685,-0.498956685,-0.498956685,2.91E-21,3.53E-23,7.31E-23,0.002682693,2.32E-20,6.10E-24,0.002682693,2.72E-23,6.85E-21,2.99E-20,1.30E-11,5.44E-12,9.07E-12,1.528445796,1.48E-11,4.53E-12,1.528445795,4.90E-12,1.45E-11,1.22E-11,-0.498956888,-0.498956888,-0.498956888,1.998158285,-0.498956888,-0.498956888,1.998158284,-0.498956888,-0.498956888,-0.498956888,1.70E-22,2.96E-23,8.23E-23,2.33614655,2.19E-22,2.05E-23,2.336146549,2.40E-23,2.09E-22,1.49E-22,-0.073577328,-0.117461635,0.164784891,-0.006253316,-0.097503398,-0.295586717,-0.006253316,0.415142322,0.345665847,-0.172665153,2.273091171,3.395825511,2.73209227,1.013533685,2.596511079,3.152689375,1.013533685,2.790898105,2.905251644,3.078383593,-0.395631055,0.692529219,0.049235326,-1.616401073,-0.082170708,0.456880344,-1.616401073,0.106230263,0.217062339,0.384862774,0.748301306,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748301306,0.818849681,0.910461877,0.883189337,0.749599047,0.822374126,0.925674024,0.749599047,0.893569212,0.827220702,0.846914931,S040,NON PLAYER PRE
-0.365692494,-0.365692494,-0.365692496,1.898809069,-0.365692495,-0.365692495,1.898809069,-0.365692495,-0.365692493,-0.365692495,62,71,46,1,64,73,1,76,72,62,5,2,9,9,4,1,9,1,2,5,-0.365692493,-0.365692494,-0.365692496,1.46380549,-0.365692495,-0.365692495,1.463805491,-0.365692495,-0.365692493,-0.365692495,2.48E-11,4.66E-11,1.80E-11,0.051799851,1.59E-10,8.41E-12,0.051799851,5.04E-11,1.47E-10,7.88E-11,0.726086591,-0.438711371,-0.542055363,-0.163612845,0.155591819,-1.61E-05,-0.163612844,1.18E-06,0.732029433,-0.59333986,-0.584988292,-0.605929882,-0.617542719,1.952626422,-0.652509363,-0.624197266,1.952626422,-0.624197255,-0.571566256,-0.588444416,2.139840516,1.958298959,1.857627876,24.13829077,1.554503859,1.799939958,24.13829077,1.799940054,2.256195449,2.109879554,-0.498956685,-0.498956685,-0.498956685,1.999266568,-0.498956685,-0.498956685,1.999266567,-0.498956685,-0.498956685,-0.498956685,6.14E-22,2.17E-21,3.23E-22,0.002683225,2.53E-20,7.08E-23,0.002683225,2.54E-21,2.15E-20,6.21E-21,6.20E-12,1.85E-11,5.72E-12,1.528597244,1.66E-11,9.83E-12,1.528597244,2.61E-11,2.71E-11,1.34E-11,-0.498956888,-0.498956888,-0.498956888,1.998653171,-0.498956888,-0.498956888,1.99865317,-0.498956888,-0.498956888,-0.498956888,3.85E-23,3.41E-22,3.27E-23,2.336609535,2.74E-22,9.66E-23,2.336609534,6.79E-22,7.35E-22,1.80E-22,-0.041102553,-0.284353192,-0.333529824,-0.006253316,-0.327156617,-0.373779713,-0.006253316,1.186919448,0.397926218,-0.097598825,3.746659448,3.014219852,3.180199821,1.013533685,2.59998012,3.091493535,1.013533685,3.986486185,3.15226834,2.090414233,1.032559394,0.322674923,0.48354362,-1.616401073,-0.078808495,0.397569001,-1.616401073,1.265000782,0.456472275,-0.572682545,0.748301306,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748300986,0.748301306,0.748301306,0.748301306,0.890947075,0.814490436,0.904634668,0.749599047,0.816791062,0.8689104,0.749599047,0.806946628,0.797103113,0.825738049,S040,NON PLAYER PRE
